drug_id	drug_label	chebi_id	status	disorders
NCIT:C1005	Arsenic Trioxide	CHEBI:30621	PRESENT_NO_EVIDENCE	Acute Promyelocytic Leukemia, PML-RARA
NCIT:C1013	Benznidazole	-	ABSENT	-
NCIT:C1014	Verteporfin	CHEBI:32293	ABSENT	-
NCIT:C1016	Beta-Carotene	CHEBI:17579	ABSENT	-
NCIT:C101790	Alectinib	CHEBI:62268	ABSENT	-
NCIT:C1023	Amoxicillin-Clavulanate Potassium	-	ABSENT	-
NCIT:C102546	Selinexor	-	PRESENT_NO_EVIDENCE	Wilms Tumor
NCIT:C102554	Trifluridine and Tipiracil Hydrochloride	-	ABSENT	-
NCIT:C102564	Capivasertib	-	ABSENT	-
NCIT:C102566	Mirvetuximab Soravtansine	-	ABSENT	-
NCIT:C102571	Epoetin Zeta	-	ABSENT	-
NCIT:C102758	Tisagenlecleucel	-	PRESENT_NO_EVIDENCE	Follicular Lymphoma
NCIT:C102783	Sacituzumab Govitecan	-	PRESENT_NO_EVIDENCE	Metastatic Breast Carcinoma; Triple-Negative Breast Cancer
NCIT:C102852	Fruquintinib	-	ABSENT	-
NCIT:C102880	Everolimus Tablets for Oral Suspension	-	ABSENT	-
NCIT:C103147	Venetoclax	-	ABSENT	-
NCIT:C103194	Durvalumab	-	PRESENT_NO_EVIDENCE	FGFR-Altered Cholangiocarcinoma; Gallbladder Cancer; Hepatocellular Carcinoma; IDH-Mutant Cholangiocarcinoma; Small Cell Lung Cancer
NCIT:C103273	Erdafitinib	-	PRESENT_NO_EVIDENCE	Bladder Urothelial Carcinoma; FGFR-Altered Urothelial Carcinoma; Transitional Cell Carcinoma
NCIT:C1038	Carbogen	-	ABSENT	-
NCIT:C104012	Luspatercept	-	PRESENT_NO_EVIDENCE	Beta Thalassemia; Myelodysplastic Syndrome
NCIT:C1041	Cefepime Hydrochloride	CHEBI:31368	ABSENT	-
NCIT:C104153	Polatuzumab Vedotin	-	PRESENT_WITH_EVIDENCE	Diffuse Large B-Cell Lymphoma
NCIT:C104748	Darolutamide	-	ABSENT	-
NCIT:C1054	Clarithromycin	CHEBI:3732	PRESENT_NO_EVIDENCE	Boutonneuse fever
NCIT:C1057	Cordycepin	CHEBI:29014	ABSENT	-
NCIT:C106250	Atezolizumab	-	PRESENT_NO_EVIDENCE	Alveolar Soft Part Sarcoma; Bladder Urothelial Carcinoma; Hepatocellular Carcinoma; Malignant Peritoneal Mesothelioma; Metastatic Hepatocellular Carcinoma; Small Cell Lung Cancer
NCIT:C106254	Tovorafenib	-	PRESENT_WITH_EVIDENCE	Pilocytic Astrocytoma
NCIT:C1064	Defibrotide Sodium	-	ABSENT	-
NCIT:C106432	Pembrolizumab	-	PRESENT_NO_EVIDENCE	Anal Canal Adenocarcinoma; Anal Canal Carcinoma; Anaplastic Thyroid Carcinoma; Angiosarcoma; BRAF V600 Mutant Melanoma; BRAF V600E-Mutant Colorectal Cancer; Bladder Urothelial Carcinoma; Cervical Adenocarcinoma; Cervical Cancer; Cervical Squamous Cell Carcinoma; Classic Hodgkin Lymphoma; Endometrial Carcinoma; Endometrial Endometrioid Adenocarcinoma; Esophageal Carcinoma; Esophageal Squamous Cell Carcinoma; Gallbladder Cancer; Gestational Trophoblastic Neoplasm; Laryngeal Squamous Cell Carcinoma; Liposarcoma; MSI-High Colorectal Cancer; MSI-High Endometrial Cancer; Merkel Cell Carcinoma; Metastatic Non-Small Cell Lung Cancer; Metastatic Prostate Cancer; Metastatic Renal Cell Carcinoma; Ovarian Endometrioid Carcinoma; Paranasal Sinus Squamous Cell Carcinoma; Penile Cancer; Sezary Syndrome; Squamous Cell Carcinoma of Penis; Thymic Carcinoma; Transitional Cell Carcinoma; Triple-Negative Breast Cancer; Urinary Bladder Small Cell Neuroendocrine Carcinoma
NCIT:C1071	Porfimer Sodium	CHEBI:60773	ABSENT	-
NCIT:C1093	Etoposide Phosphate	-	ABSENT	-
NCIT:C1094	Fludarabine	-	ABSENT	-
NCIT:C1097	Exemestane	CHEBI:4953	ABSENT	-
NCIT:C1102	Fludarabine Phosphate	CHEBI:63599	ABSENT	-
NCIT:C1105	Fosfestrol	CHEBI:4532	ABSENT	-
NCIT:C1108	Gabapentin	-	ABSENT	-
NCIT:C111757	Mercaptopurine Oral Suspension	-	ABSENT	-
NCIT:C1119	Ondansetron	-	ABSENT	-
NCIT:C1126	Haemophilus Influenzae B Vaccine	-	ABSENT	-
NCIT:C11280	Fluorouracil-Uracil	-	ABSENT	-
NCIT:C1131	Tropisetron	-	ABSENT	-
NCIT:C113164	Tisotumab Vedotin	-	ABSENT	-
NCIT:C113442	Acalabrutinib	-	ABSENT	-
NCIT:C113655	Lorlatinib	-	ABSENT	-
NCIT:C1138	Itraconazole	CHEBI:6076	PRESENT_NO_EVIDENCE	Coccidioidomycosis; Mycetoma
NCIT:C114283	Futibatinib	-	PRESENT_WITH_EVIDENCE	FGFR-Altered Cholangiocarcinoma
NCIT:C114299	Belantamab Mafodotin	-	ABSENT	-
NCIT:C114383	Ivosidenib	-	ABSENT	-
NCIT:C114498	Relugolix	-	ABSENT	-
NCIT:C114500	Enfortumab Vedotin	-	PRESENT_WITH_EVIDENCE	Transitional Cell Carcinoma
NCIT:C1149	Aluminum Hydroxide/Magnesium Hydroxide	-	ABSENT	-
NCIT:C114984	Entrectinib	-	PRESENT_WITH_EVIDENCE	Fibrosarcoma
NCIT:C115102	Decitabine and Cedazuridine	-	ABSENT	-
NCIT:C115112	Ceritinib	-	ABSENT	-
NCIT:C1153	Dolasetron Mesylate	-	ABSENT	-
NCIT:C1156	Megestrol Acetate	CHEBI:6723	ABSENT	-
NCIT:C1160	Meropenem	CHEBI:6770	ABSENT	-
NCIT:C116377	Osimertinib	-	ABSENT	-
NCIT:C116722	Gilteritinib	-	ABSENT	-
NCIT:C116870	Avelumab	-	PRESENT_WITH_EVIDENCE	Merkel Cell Carcinoma
