verdict	grouping	grouping_term	grouping_label	member	member_term	member_label
SILENT	Ciliopathies	MONDO:0005308	ciliopathy	Cranioectodermal Dysplasia	MONDO:0009032	cranioectodermal dysplasia
SILENT	Ciliopathies	MONDO:0005308	ciliopathy	EYS-Related Retinitis Pigmentosa	MONDO:0011272	retinitis pigmentosa 25
SILENT	Ciliopathies	MONDO:0005308	ciliopathy	Nephronophthisis	MONDO:0019005	nephronophthisis
SILENT	Ciliopathies	MONDO:0005308	ciliopathy	Short-Rib Polydactyly Syndrome	MONDO:0015461	short rib-polydactyly syndrome
SILENT	Disorders of GPI Anchor Biosynthesis	MONDO:0024321	disorder of GPI anchor biosynthesis	Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome	MONDO:0100247	multiple congenital anomalies-hypotonia-seizures syndrome
SILENT	Mitochondrial Complex IV Deficiency	MONDO:0033885	mitochondrial complex IV deficiency, nuclear-type	COX15-Related COX Deficiency	MONDO:0014051	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 2
SILENT	Mitochondrial Complex IV Deficiency	MONDO:0033885	mitochondrial complex IV deficiency, nuclear-type	SCO2-Related Fatal Infantile Cardioencephalomyopathy	MONDO:0011451	cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 1
SILENT	Tubulinopathies	MONDO:0100153	tubulinopathy	TUBA1A-related Tubulinopathy	MONDO:0012703	lissencephaly due to TUBA1A mutation
