bpm_id	score	n_query_module	n_library_module	seed_pair	cross_negative_weight	cross_positive_weight	within_query_weight	query_module	library_module	A_top_region	A_region_frac	B_top_region	B_region_frac	coherence_call	dismech_genes_A	dismech_genes_B	n_dismech_genes
BPM0001	6.3759	8	25	BCL2~ACO2	204.258	0.0	6.146	ANGPTL4|BCL2|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ACO2|BCL2L2|CCDC22|CNOT7|COMMD2|COMMD3|DDI2|DNAJC7|FOXK1|FOXK2|ICMT|KIAA0196|MGAT1|MTF2|RANBP3|RIC8A|RPS6KB1|RRAGC|SAP30|THAP3|UBALD1|UBALD2|UBE2J2|WDR91|ZNF800	Vesicle traffic	1.0	Actin cytoskeleton & cell adhesion/migration	0.29	neither	BCL2|CDKN2B|GSK3B|PC	CCDC22|DNAJC7|RPS6KB1	7
BPM0002	5.8305	7	25	PC~NAA30	174.788	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ARIH2|BCL2|BCL2L2|COMMD2|COMMD3|CUL5|ICMT|ING3|KIAA0196|LAMTOR5|MGAT1|MGAT2|MTF2|NAA30|PHF8|RANBP3|RIC8A|RRAGC|SLC38A2|UBALD2|UBE2F|VPS29|VPS35|ZNF507|ZNF800	Vesicle traffic	1.0	Actin cytoskeleton & cell adhesion/migration	0.38	neither	CDKN2B|GSK3B|PC	BCL2|MGAT2|PHF8|VPS35	7
BPM0003	5.7439	7	25	SLX1~FOXK1	172.016	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	BCL2|BCL2L2|CNOT2|COMMD2|COMMD3|CTDSP1|DDI2|FOXK1|ICMT|KIAA0196|LAMTOR4|LAMTOR5|MCL1|PHF8|RAB7A|RANBP3|RIC8A|RPS6KB1|RRAGA|RRAGC|SMARCA5|UBALD2|VPS26A|VPS29|VPS35	Vesicle traffic	1.0	Actin cytoskeleton & cell adhesion/migration	0.38	neither	CDKN2B|GSK3B|PC	BCL2|PHF8|RAB7A|RPS6KB1|VPS35	8
BPM0004	5.7223	8	25	GSK3B~ING3	178.126	2.04	12.748	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|NDUFA2|PC|SLX1	ALDH18A1|ARHGDIA|ARIH2|B3GNT2|BCL2|BCL2L2|C7orf25|CNOT2|CNOT7|CUL5|GNAS|GTPBP2|ING3|MCL1|MGAT1|MPHOSPH8|MTF2|RIC8A|THAP3|UBE2F|USF2|VPS35|WSB2|ZNF507|ZNF800	Vesicle traffic	0.5	Cell proliferation	0.33	one-side	CDKN2B|GSK3B|PC	ALDH18A1|BCL2|GNAS|VPS35	7
BPM0005	5.7218	7	25	ANGPTL4~CNOT6	171.307	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ARIH2|BCL2|BCL2L2|CNOT2|CNOT6|CNOT7|COMMD2|COMMD3|CUL5|DNAJC7|FOXK1|ICMT|KIAA0196|LAMTOR4|MARCH5|MGAT1|MTF2|RAB7A|RIC8A|RRAGA|RRAGC|UBALD2|UBE2F|ZNF507|ZNF800	Vesicle traffic	1.0	Actin cytoskeleton & cell adhesion/migration	0.33	neither	CDKN2B|GSK3B|PC	BCL2|DNAJC7|RAB7A	6
BPM0006	5.7004	7	25	GSK3A~COMMD3	172.663	2.04	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ARHGDIA|ARIH2|BCL2|BCL2L2|C7orf25|CNOT7|COMMD3|CUL5|DNAJC7|FOXK1|FOXK2|GNAS|GTPBP2|ICMT|ING3|LAMTOR5|MCL1|RIC8A|RPS6KB1|RRAGC|THAP3|UBE2F|UBE2J2|ZNF507|ZNF800	Vesicle traffic	1.0	Translation, RNA decay & Autophagy	0.27	neither	CDKN2B|GSK3B|PC	BCL2|DNAJC7|GNAS|RPS6KB1	7
BPM0007	5.5874	7	25	CDKN2B~RPS6KB1	167.008	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ACO2|ALDH18A1|BCL2L2|CCDC22|CNOT2|COMMD2|COMMD3|FOXK1|ICMT|KIAA0196|LAMTOR4|LAMTOR5|MCL1|PCYT2|RANBP3|RER1|RPS6KB1|RPTOR|RRAGA|RRAGC|SLC38A5|THAP3|UBALD2|VPS29|WDR91	Vesicle traffic	1.0	Actin cytoskeleton & cell adhesion/migration	0.31	neither	CDKN2B|GSK3B|PC	ALDH18A1|CCDC22|RPS6KB1	6
BPM0008	5.586	7	25	EMC6~ACO2	166.962	0.0	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ACO2|ALDH18A1|BCL2L2|BRD8|CHP1|CNOT2|COMMD3|FOXK2|ICMT|ING3|KIAA0196|MARCH5|MGAT1|MGAT2|RAB10|RAB3GAP2|RABL3|RER1|RIC8A|RPS6KB1|TBC1D20|UBALD2|VPS29|VPS35|ZNF800	Vesicle traffic	1.0	Vesicle traffic	0.5	one-side	CDKN2B|GSK3B|PC	ALDH18A1|CHP1|MGAT2|RAB3GAP2|RPS6KB1|TBC1D20|VPS35	10
BPM0009	5.576	7	25	CDKN2B~PLCE1	167.013	0.37	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ALDH18A1|ANKRD17|ARIH2|BCL2|BCL2L2|CNOT2|CUL5|ICMT|LAMTOR5|MCL1|MGAT1|PCYT2|PLCE1|RER1|RIC8A|RPS6KB1|RRAGC|SLC38A5|THAP3|TSC1|UBALD2|UBE2F|VPS29|WSB2|ZNF507	Vesicle traffic	1.0	Vesicle traffic	0.22	neither	CDKN2B|GSK3B|PC	ALDH18A1|BCL2|RPS6KB1|TSC1	7
BPM0010	5.4065	7	25	ANGPTL4~ATL2	161.644	0.426	11.79	ANGPTL4|CDKN2B|EMC6|GSK3A|GSK3B|PC|SLX1	ALDH18A1|ARIH2|ATL2|BCL2|BCL2L2|CNOT2|CNOT6|CNOT7|CUL5|DNAJC7|KIAA0196|MARCH5|MCL1|MGAT1|MTF2|RIC8A|RRAGC|TAF11|THAP3|UBE2F|USF2|VPS29|VPS35|ZNF507|ZNF800	Vesicle traffic	1.0	Cell proliferation	0.3	neither	CDKN2B|GSK3B|PC	ALDH18A1|BCL2|DNAJC7|VPS35	7
