bpm_id	side	gene	disorder
BPM0001	query_module	BCL2	Follicular Lymphoma
BPM0001	query_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0001	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0001	query_module	CDKN2B	Glioma
BPM0001	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0001	query_module	CDKN2B	Meningioma
BPM0001	query_module	CDKN2B	Oligoastrocytoma
BPM0001	query_module	CDKN2B	Thymic Carcinoma
BPM0001	query_module	GSK3B	Alzheimer Disease
BPM0001	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0001	library_module	CCDC22	Ritscher-Schinzel Syndrome
BPM0001	library_module	DNAJC7	Amyotrophic Lateral Sclerosis
BPM0001	library_module	RPS6KB1	Hypertrophic Cardiomyopathy
BPM0002	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0002	query_module	CDKN2B	Glioma
BPM0002	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0002	query_module	CDKN2B	Meningioma
BPM0002	query_module	CDKN2B	Oligoastrocytoma
BPM0002	query_module	CDKN2B	Thymic Carcinoma
BPM0002	query_module	GSK3B	Alzheimer Disease
BPM0002	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0002	library_module	BCL2	Follicular Lymphoma
BPM0002	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0002	library_module	MGAT2	MGAT2-congenital disorder of glycosylation
BPM0002	library_module	PHF8	Siderius Type X-Linked Intellectual Disability
BPM0002	library_module	VPS35	Parkinson's Disease
BPM0003	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0003	query_module	CDKN2B	Glioma
BPM0003	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0003	query_module	CDKN2B	Meningioma
BPM0003	query_module	CDKN2B	Oligoastrocytoma
BPM0003	query_module	CDKN2B	Thymic Carcinoma
BPM0003	query_module	GSK3B	Alzheimer Disease
BPM0003	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0003	library_module	BCL2	Follicular Lymphoma
BPM0003	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0003	library_module	PHF8	Siderius Type X-Linked Intellectual Disability
BPM0003	library_module	RAB7A	Charcot-Marie-Tooth Disease Type 2
BPM0003	library_module	RPS6KB1	Hypertrophic Cardiomyopathy
BPM0003	library_module	VPS35	Parkinson's Disease
BPM0004	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0004	query_module	CDKN2B	Glioma
BPM0004	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0004	query_module	CDKN2B	Meningioma
BPM0004	query_module	CDKN2B	Oligoastrocytoma
BPM0004	query_module	CDKN2B	Thymic Carcinoma
BPM0004	query_module	GSK3B	Alzheimer Disease
BPM0004	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0004	library_module	ALDH18A1	ALDH18A1-Related Autosomal Dominant Cutis Laxa Type 3
BPM0004	library_module	ALDH18A1	ALDH18A1-Related Spastic Paraplegia and Neurocutaneous Spectrum
BPM0004	library_module	ALDH18A1	Complex Hereditary Spastic Paraplegia
BPM0004	library_module	BCL2	Follicular Lymphoma
BPM0004	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0004	library_module	GNAS	Adrenal Cortex Adenoma
BPM0004	library_module	GNAS	Appendiceal Neoplasm
BPM0004	library_module	GNAS	Fibrous Dysplasia
BPM0004	library_module	GNAS	GNAS-related pituitary adenoma 3
BPM0004	library_module	GNAS	Pituitary Tumor
BPM0004	library_module	GNAS	Pseudohypoparathyroidism
BPM0004	library_module	GNAS	Pseudomyxoma Peritonei
BPM0004	library_module	GNAS	Pseudopseudohypoparathyroidism
BPM0004	library_module	GNAS	Testicular Sex Cord-Stromal Neoplasm
BPM0004	library_module	VPS35	Parkinson's Disease
BPM0005	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0005	query_module	CDKN2B	Glioma
BPM0005	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0005	query_module	CDKN2B	Meningioma
BPM0005	query_module	CDKN2B	Oligoastrocytoma
BPM0005	query_module	CDKN2B	Thymic Carcinoma
BPM0005	query_module	GSK3B	Alzheimer Disease
BPM0005	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0005	library_module	BCL2	Follicular Lymphoma
BPM0005	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0005	library_module	DNAJC7	Amyotrophic Lateral Sclerosis
BPM0005	library_module	RAB7A	Charcot-Marie-Tooth Disease Type 2
BPM0006	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0006	query_module	CDKN2B	Glioma
BPM0006	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0006	query_module	CDKN2B	Meningioma
BPM0006	query_module	CDKN2B	Oligoastrocytoma
BPM0006	query_module	CDKN2B	Thymic Carcinoma
BPM0006	query_module	GSK3B	Alzheimer Disease
BPM0006	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0006	library_module	BCL2	Follicular Lymphoma
BPM0006	library_module	BCL2	Primary_Tonsillar_Lymphoma
BPM0006	library_module	DNAJC7	Amyotrophic Lateral Sclerosis
BPM0006	library_module	GNAS	Adrenal Cortex Adenoma
BPM0006	library_module	GNAS	Appendiceal Neoplasm
BPM0006	library_module	GNAS	Fibrous Dysplasia
BPM0006	library_module	GNAS	GNAS-related pituitary adenoma 3
BPM0006	library_module	GNAS	Pituitary Tumor
BPM0006	library_module	GNAS	Pseudohypoparathyroidism
BPM0006	library_module	GNAS	Pseudomyxoma Peritonei
BPM0006	library_module	GNAS	Pseudopseudohypoparathyroidism
BPM0006	library_module	GNAS	Testicular Sex Cord-Stromal Neoplasm
BPM0006	library_module	RPS6KB1	Hypertrophic Cardiomyopathy
BPM0007	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0007	query_module	CDKN2B	Glioma
BPM0007	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0007	query_module	CDKN2B	Meningioma
BPM0007	query_module	CDKN2B	Oligoastrocytoma
BPM0007	query_module	CDKN2B	Thymic Carcinoma
BPM0007	query_module	GSK3B	Alzheimer Disease
BPM0007	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0007	library_module	ALDH18A1	ALDH18A1-Related Autosomal Dominant Cutis Laxa Type 3
BPM0007	library_module	ALDH18A1	ALDH18A1-Related Spastic Paraplegia and Neurocutaneous Spectrum
BPM0007	library_module	ALDH18A1	Complex Hereditary Spastic Paraplegia
BPM0007	library_module	CCDC22	Ritscher-Schinzel Syndrome
BPM0007	library_module	RPS6KB1	Hypertrophic Cardiomyopathy
BPM0008	query_module	CDKN2B	Acute Lymphoblastic Leukemia
BPM0008	query_module	CDKN2B	Glioma
BPM0008	query_module	CDKN2B	Malignant Peripheral Nerve Sheath Tumor
BPM0008	query_module	CDKN2B	Meningioma
BPM0008	query_module	CDKN2B	Oligoastrocytoma
BPM0008	query_module	CDKN2B	Thymic Carcinoma
BPM0008	query_module	GSK3B	Alzheimer Disease
BPM0008	query_module	PC	Pyruvate Carboxylase Deficiency Disease
BPM0008	library_module	ALDH18A1	ALDH18A1-Related Autosomal Dominant Cutis Laxa Type 3
BPM0008	library_module	ALDH18A1	ALDH18A1-Related Spastic Paraplegia and Neurocutaneous Spectrum
BPM0008	library_module	ALDH18A1	Complex Hereditary Spastic Paraplegia
BPM0008	library_module	CHP1	Autosomal Recessive Spastic Ataxia 9
BPM0008	library_module	MGAT2	MGAT2-congenital disorder of glycosylation
BPM0008	library_module	RAB3GAP2	Warburg micro syndrome
BPM0008	library_module	RPS6KB1	Hypertrophic Cardiomyopathy
BPM0008	library_module	TBC1D20	Warburg micro syndrome
