subclass,P_adj,neglog10_Padj,AD_strict_median_PAC,AD_resilient_median_PAC,strict_minus_resilient_diff,rank_by_Padj,is_astrocyte
EN_L3_5_IT_3,1.86760452223331e-06,7.16007884729463,-0.049861584000915,-0.587684967938591,0.537823383937676,1,False
IN_PVALB_CHC,1.08627587204051e-05,6.05851819725531,-0.117473915219306,-0.403431219213149,0.285957303993842,2,False
EN_L3_5_IT_1,1.08627587204051e-05,5.82482309075896,-0.0861042022705078,-0.246574211120605,0.160470008850097,3,False
IN_LAMP5_RELN,1.08627587204051e-05,5.77651126395139,0.0,-0.348066727320353,0.348066727320353,4,False
IN_PVALB,1.08627587204051e-05,5.6964536265682,0.0779845497824929,-0.20014141382796,0.278125963610453,5,False
EN_L2_3_IT,1.54264118345345e-05,5.46494759235766,-0.172426308525933,-0.509407469463832,0.336981160937899,6,False
IN_SST,1.75995987764152e-05,5.34076295696552,-0.202054218370087,-0.356418013572692,0.154363795202605,7,False
EN_L3_5_IT_2,6.11417079991992e-05,4.74193621055148,-0.144279354497006,-0.571392622150358,0.427113267653352,8,False
IN_VIP,9.75229814068323e-05,4.47975142622305,-0.168477913912604,-0.406996621025933,0.238518707113328,9,False
IN_LAMP5_LHX6,9.75229814068323e-05,4.44225679438763,0.0708584537108739,-0.0357453823089599,0.106603836019833,10,False
EN_L5_ET,0.000123443887573471,4.29850148865207,0.0,-0.234489306807518,0.234489306807518,11,False
EN_L6B,0.000394244185528626,3.75641722121239,-0.0027430420741438,-0.250553506793397,0.247810464719253,12,False
IN_ADARB2,0.000542917784575941,3.58268634360467,-0.0980504900217056,-0.278603401504644,0.180552911482939,13,False
Micro,0.000646437073383077,3.47470947306571,0.6417044580510233,0.336043955916065,0.305660502134958,14,False
EN_L6_CT,0.00118754930026647,3.18062085700492,-0.35175795988603,-0.606146948678152,0.254388988792122,15,False
Astro,0.00149687498299354,3.05205825134255,0.4309570143894596,0.0447870878481953,0.386169926541264,16,True
EN_L6_IT_1,0.00932677036760368,2.23118355855675,-0.0862860381603241,-0.439093984406569,0.352807946246245,17,False
VLMC,0.0128190580560231,2.05104594040988,0.574109207500111,0.298827648162841,0.275281559337269,18,False
Immune,0.0128190580560231,2.04475404879564,0.8453167676925659,0.905173619588216,-0.0598568518956502,19,False
Oligo,0.118970381298678,1.05489491499843,0.5632324639102316,0.332534894616433,0.230697569293798,20,False
Endo,0.379425133573637,0.530018373734813,-0.429616106881035,-0.517543697357177,0.087927590476142,21,False
PC,0.43204277307098,0.45341433839887,-0.316567357381184,-0.491466324904869,0.174898967523684,22,False
OPC,0.43309584575576,0.433051910133099,-0.103877169619627,-0.176263544294569,0.072386374674942,23,False
EN_L5_6_NP,0.504918033365984,0.347931640459603,-0.238327276139032,-0.549653073574634,0.311325797435602,24,False
SMC,0.584239910777027,0.266832534177408,-0.143552592822483,-0.170916885137557,0.0273642923150743,25,False
PVM,0.639017065773689,0.210877959481452,0.5301040892905378,0.583161751429239,-0.0530576621387021,26,False
EN_L6_IT_2,0.831435115118783,0.0801716372988065,-0.0070263610945807,-0.289363026618957,0.282336665524376,27,False
