dataset,cell_type,gene,comparison,phenotype,n_group1,n_group2,mean_group1,mean_group2,log2_mean_diff,fold_change,test_statistic,pvalue,qvalue_BH,published_adj_p,cohens_d,marker_class,direction,resilient_direction_inferred
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAM17,AD_vs_Control_PAC-level,AD,100,100,,,-0.14448002,0.9047053951404327,,2.6262922709737688e-05,3.8335124057747715e-05,9.665942455417208e-05,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAM21,AD_vs_Control_PAC-level,AD,100,100,,,-0.9304716,0.524686799846541,,1.2301474118446919e-32,5.557601252983944e-32,1.4028068074966054e-31,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAM22,AD_vs_Control_PAC-level,AD,100,100,,,0.4887996,1.403276787959523,,3.144723712145803e-45,1.792492515923108e-44,4.524471240849774e-44,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAM32,AD_vs_Control_PAC-level,AD,100,100,,,0.68829536,1.6113784425377518,,2.9683977909598727e-14,7.539487890889538e-14,1.9030593338626885e-13,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAM33,AD_vs_Control_PAC-level,AD,100,100,,,1.5666109,2.9620806045924293,,2.2319682816175466e-71,1.843799884814495e-70,4.653977340836587e-70,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAMTS1,AD_vs_Control_PAC-level,AD,100,100,,,-0.8731725,0.5459449914801762,,0.0002080665099073,0.0002764520061705385,0.0006968512693597,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAMTS10,AD_vs_Control_PAC-level,AD,100,100,,,0.3573545,1.2810746091765035,,7.037163509798655e-18,2.0535067579787886e-17,5.183303242178916e-17,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAMTS13,AD_vs_Control_PAC-level,AD,100,100,,,0.25746232,1.1953742080892518,,0.0010204492629327,0.0012535691376543943,0.0031584898753197,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAMTS17,AD_vs_Control_PAC-level,AD,100,100,,,0.29208562,1.2244090555685287,,3.6787821801344397e-31,1.5935953205902197e-30,4.022430293858208e-30,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAMTS3,AD_vs_Control_PAC-level,AD,100,100,,,-0.53559756,0.689872874218094,,0.0002589073491704,0.0003407593358332761,0.0008589614495442,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAMTSL1,AD_vs_Control_PAC-level,AD,100,100,,,-0.41965145,0.7476052212680983,,1.2687854268099513e-05,1.8969382118863533e-05,4.784967320636481e-05,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ADAMTSL3,AD_vs_Control_PAC-level,AD,100,100,,,1.2342018,2.3525115400632286,,3.508944983184317e-64,2.608824313584862e-63,6.584992949421438e-63,,none,up_in_ADPAC,higher_in_impaired
