dataset,cell_type,gene,comparison,phenotype,n_group1,n_group2,mean_group1,mean_group2,log2_mean_diff,fold_change,test_statistic,pvalue,qvalue_BH,published_adj_p,cohens_d,marker_class,direction,resilient_direction_inferred
Supplementary_Data_1:Fig. 2f,Astrocyte,ABCE1,AD_vs_Control_PAC-level,AD,100,100,,,-0.3912418,0.7624730231611707,,2.27096470845665e-08,4.1959477595471324e-08,1.0591087436927082e-07,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ABCF1,AD_vs_Control_PAC-level,AD,100,100,,,-0.35948572,0.7794423793186598,,6.235353187257383e-07,1.0364475285744958e-06,2.614849958173396e-06,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ABHD12,AD_vs_Control_PAC-level,AD,100,100,,,0.2896566,1.2223492912430227,,1.7847130142588687e-09,3.534289813992664e-09,8.920981526108676e-09,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABHD13,AD_vs_Control_PAC-level,AD,100,100,,,0.46674737,1.3819901853524905,,2.3119361387548e-07,3.973277183186641e-07,1.0026520330470136e-06,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABHD17C,AD_vs_Control_PAC-level,AD,100,100,,,-0.12454384,0.9172940329044041,,0.0172669814092135,0.017471324384470466,0.0440151238786464,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ABHD18,AD_vs_Control_PAC-level,AD,100,100,,,-0.3364554,0.7919847741630025,,9.099154969221596e-26,3.432885824019621e-25,8.665025402295137e-25,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ABHD3,AD_vs_Control_PAC-level,AD,100,100,,,0.20147009,1.1498694622561256,,8.385360381029454e-08,1.485903238503665e-07,3.749630846373311e-07,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABHD6,AD_vs_Control_PAC-level,AD,100,100,,,0.52964276,1.4435716941852998,,9.175225936268644e-18,2.660387681393706e-17,6.715145222114376e-17,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABI1,AD_vs_Control_PAC-level,AD,100,100,,,-0.3422246,0.7888240264925186,,2.528991428506247e-171,5.562154781666473e-170,1.403956174056603e-169,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ABI2,AD_vs_Control_PAC-level,AD,100,100,,,0.27107528,1.2067068841877249,,3.331962310196835e-45,1.8960584194464516e-44,4.785884299962426e-44,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABI3BP,AD_vs_Control_PAC-level,AD,100,100,,,0.43784338,1.3545779155607525,,8.321428471811663e-09,1.584151704625432e-08,3.9985934474207726e-08,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABITRAM,AD_vs_Control_PAC-level,AD,100,100,,,-0.2706368,0.828953568157382,,0.0128329941377252,0.013277519271220747,0.0334483157892248,,none,down_in_ADPAC,higher_in_resilient
Supplementary_Data_1:Fig. 2f,Astrocyte,ABL1,AD_vs_Control_PAC-level,AD,100,100,,,0.11818052,1.0853651717963448,,1.10103461901694e-05,1.6555455691527518e-05,4.176046286759109e-05,,none,up_in_ADPAC,higher_in_impaired
Supplementary_Data_1:Fig. 2f,Astrocyte,ABL2,AD_vs_Control_PAC-level,AD,100,100,,,0.07225343,1.0513575788498828,,0.0168651474792208,0.017107757490415286,0.0430989892286482,,none,up_in_ADPAC,higher_in_impaired
