variant_class,count,pct_of_303
frameshift,111,36.6
missense,105,34.7
nonsense,54,17.8
other/unknown,22,7.3
splice,5,1.7
inframe_indel,4,1.3
synonymous,2,0.7
truncating_total(nonsense+frameshift),165,54.5
