mondo_id,label,definition,ordo_mappings,orphanet_mappings,omim_mappings,omimps_mappings,has_icd11f,icd11f_xrefs,has_icd10cm,icd10cm_xrefs,has_any_icd,any_icd_xrefs,independent_candidate_icd11f_count,independent_candidate_icd11f_ids,independent_candidate_icd11f_labels,independent_candidate_match_on,search_status,search_method,search_date,searched_by,selected_icd11f_id,selected_icd11f_label,search_confidence,search_notes
MONDO:0016001,2-hydroxyglutaric aciduria,"2-Hydroxyglutaric aciduria is a group of neurometabolic disorders with a wide clinical spectrum ranging from severe neonatal presentations to progressive forms, and asymptomatic cases, characterized biochemically by increased levels of 2-hydroxyglutaric acid in the plasma, cerebrospinal fluid and urine.",,Orphanet:19,,,0,,0,,1,ICD9:270.8,1,icd11f:896211058,2-hydroxyglutaric aciduria,icd11f:896211058:exact_synonym+label,NOT_REVIEWED,,,,,,,
MONDO:0010886,2q37 microdeletion syndrome,"A chromosomal anomaly involving deletion of chromosome band 2q37 and manifests as three major clinical findings: developmental delay, skeletal malformations and facial dysmorphism.",,Orphanet:1001,OMIM:600430,,0,,0,,1,ICD9:758.39,0,,,,NOT_REVIEWED,,,,,,,
MONDO:0007477,3-M syndrome,"3M syndrome is a primordial growth disorder characterized by low birth weight, reduced birth length, severe postnatal growth restriction, a spectrum of minor anomalies (including facial dysmorphism) and normal intelligence.",,Orphanet:2616,,OMIMPS:273750,0,,0,,1,ICD9:756.59,0,,,,NOT_REVIEWED,,,,,,,
MONDO:8000015,"46,XY sex reversal 11","Any 46,XY complete gonadal dysgenesis in which the cause of the disease is a mutation in the DHX37 gene.",,Orphanet:983,OMIM:273250,,0,,0,,1,ICD9:752.89,1,icd11f:1581551380,Embryonic testicular regression syndrome,icd11f:1581551380:exact_synonym,NOT_REVIEWED,,,,,,,
MONDO:0019928,"48,XXXY syndrome","The 48,XXXY syndrome represents a chromosomal anomaly of the aneuploidic type characterized by the presence of two extra X chromosomes in males.",,Orphanet:96263,,,0,,0,,1,ICD9:758.81,0,,,,NOT_REVIEWED,,,,,,,
MONDO:0015028,"48,XXYY syndrome","The 48,XXYY syndrome represents a chromosomal anomaly of the aneuploidic type characterized by the presence of an extra X and Y chromosome in males.",,Orphanet:10,,,0,,0,,1,ICD9:758.81,0,,,,NOT_REVIEWED,,,,,,,
MONDO:0019929,"49,XXXXY syndrome","The 49,XXXXY syndrome represents a chromosomal anomaly of the aneuploidic type characterized by the presence of three extra X chromosomes in males.",,Orphanet:96264,,,0,,0,,1,ICD9:758.81,0,,,,NOT_REVIEWED,,,,,,,
MONDO:0009825,5-oxoprolinase deficiency,5-Oxoprolinase deficiency is clinically a very heterogeneous condition characterized by 5-oxoprolinuria.,,Orphanet:33572,OMIM:260005,,0,,0,,1,ICD9:270.8,0,,,,NOT_REVIEWED,,,,,,,
MONDO:0035173,9q21.13 microdeletion syndrome,"A rare, genetic, intellectual disability malformation syndrome characterized by global developmental delay, intellectual disability, delayed speech and language development, epilepsy, autistic behavior, and moderate facial dysmorphism (including elongated face, narrow forehead, arched eyebrows, horizontal palpebral fissures, hypertelorism, epicanthus, midface flattening, short nose, long and featureless philtrum, thin upper lip, macrostomia, and prominent chin). Additional variable manifestations include microcephaly, hypotonia, hypertrichosis, and strabismus.",,Orphanet:531151,,,0,,1,ICD10CM:F78.1,1,ICD10CM:F78.1,0,,,,NOT_REVIEWED,,,,,,,
MONDO:0008966,Aagenaes syndrome,"Cholestasis-lymphedema syndrome is a rare genetic disorder characterized by neonatal intrahepatic cholestasis, often lessening and becoming intermittent with age, and severe chronic lymphedema which mainly affects the lower limbs. Patients often present with fat malabsorption leading to failure to thrive, fat soluble vitamin deficiency with bleeding, rickets, and neuropathy. In 25% of cases, cirrhosis occurs during childhood or later in life.",,Orphanet:1414,OMIM:214900,,0,,1,ICD10CM:Q82.0,1,ICD10CM:Q82.0|ICD9:576.8,0,,,,NOT_REVIEWED,,,,,,,
