go_id	go_label	reactions	kb_uses	kb_entries	ambiguity	shared_core	entries
GO:0000104	succinate dehydrogenase activity	2	4	4	SHARED_CORE	CHEBI:29806;CHEBI:30031	Cowden_Syndrome;Dilated_Cardiomyopathy_1GG;Pheochromocytoma_Paraganglioma;SDHA-Related_Neurodegeneration_With_Ataxia_And_Optic_Atrophy
GO:0003939	L-iditol 2-dehydrogenase (NAD+) activity	2	1	1	DISJOINT		Sorbitol_Dehydrogenase_Deficiency
GO:0004043	L-aminoadipate-semialdehyde dehydrogenase [NAD(P)+] activity	2	1	1	SHARED_CORE	CHEBI:58321;CHEBI:58672	Pyridoxine-Dependent_Epilepsy
GO:0004346	glucose-6-phosphatase activity	2	3	2	DISJOINT		G6PC3_Deficiency;Glycogen_Storage_Disease_Type_I
GO:0004348	glucosylceramidase activity	2	3	3	SHARED_CORE	CHEBI:4167	Gaucher_Disease;Hereditary_Spastic_Paraplegia_46;Kufor-Rakeb_syndrome
GO:0004557	alpha-galactosidase activity	2	1	1	SHARED_CORE	CHEBI:4139	Fabry_Disease
GO:0004587	L-ornithine transaminase activity	2	1	1	SHARED_CORE	CHEBI:46911;CHEBI:58066	ornithine_aminotransferase_deficiency
GO:0004733	pyridoxamine phosphate oxidase activity	2	1	1	SHARED_CORE	CHEBI:597326	PNPO_Deficiency
GO:0004802	transketolase activity	2	2	2	SHARED_CORE	CHEBI:57737;CHEBI:59776	Thiamine-Responsive_Megaloblastic_Anemia_Syndrome;Transketolase_Deficiency
GO:0004828	serine-tRNA ligase activity	2	4	1	SHARED_CORE	CHEBI:33384;CHEBI:78442;CHEBI:78533	SARS1-Related_Neurodevelopmental_Disorder
GO:0005412	D-glucose:sodium symporter activity	2	1	1	SHARED_CORE	CHEBI:29101;CHEBI:4167	Glucose-Galactose_Malabsorption
GO:0005436	sodium:phosphate symporter activity	2	1	1	SHARED_CORE	CHEBI:29101	Pulmonary_Alveolar_Microlithiasis
GO:0009384	N-acylmannosamine kinase activity	2	1	1	DISJOINT		GNE_Myopathy
GO:0009982	pseudouridine synthase activity	2	2	2	SHARED_CORE	CHEBI:65314;CHEBI:65315	PUS3-Related_Neurodevelopmental_Disorder;PUS7-Related_Neurodevelopmental_Disorder
GO:0030586	[methionine synthase] reductase (NADPH) activity	2	1	1	SHARED_CORE	CHEBI:16304	Methylcobalamin_Deficiency_Type_cblE
GO:0033188	sphingomyelin synthase activity	2	1	1	SHARED_CORE	CHEBI:17636;CHEBI:52639	Calvarial_Doughnut_Lesions-bone_Fragility_Syndrome
GO:0033699	DNA 5'-adenosine monophosphate hydrolase activity	2	1	1	DISJOINT		Ataxia_With_Oculomotor_Apraxia_Type_1
GO:0070330	aromatase activity	2	2	2	SHARED_CORE	CHEBI:15740;CHEBI:57618;CHEBI:58210	Aromatase_Deficiency;Aromatase_Excess_Syndrome
