dismech_name	source	file	mindmap_title	nodes	url
Ischemic Stroke	KB	Ischemic_Stroke.yaml	Tirofiban in early neurological detioration in ischemic stroke	66	https://www.sciqst.com/mindmaps/gBCsMGDG9ohP
Kawasaki Disease	KB	Kawasaki_Disease.yaml	Kawasaki disease	43	https://www.sciqst.com/mindmaps/NrlwcLHlA-v3
Liposarcoma	KB	Liposarcoma.yaml	Liposarcoma	74	https://www.sciqst.com/mindmaps/wf5_KWbL7zz6
Long COVID	KB	Long_COVID.yaml	Long COVID and ME/CFS	120	https://www.sciqst.com/mindmaps/Ck9xSAKSp5kv
Long COVID	KB	Long_COVID.yaml	Long covid	42	https://www.sciqst.com/mindmaps/Q-yBNhX4QnYZ
Long COVID	KB	Long_COVID.yaml	Long covid	42	https://www.sciqst.com/mindmaps/walt1AoaBNPA
Long COVID	KB	Long_COVID.yaml	long covid	55	https://www.sciqst.com/mindmaps/akehQSuirnXz
Mantle Cell Lymphoma	KB	Mantle_Cell_Lymphoma.yaml	Management of mantle cell lymphoma	64	https://www.sciqst.com/mindmaps/F6uz52svaSTw
Meningioma	KB	Meningioma.yaml	MENINGIOMA	35	https://www.sciqst.com/mindmaps/MOWOq5QgEFEi
Meningioma	KB	Meningioma.yaml	meningioma	48	https://www.sciqst.com/mindmaps/eM4_YQvnMJyL
Metastatic Prostate Cancer	KB	Metastatic_Prostate_Cancer.yaml	current use of abiraterona acetate in metastatic prostate cancer	35	https://www.sciqst.com/mindmaps/s__Aox9-6VRq
Multiple Myeloma	KB	Multiple_Myeloma.yaml	multiple myeloma	48	https://www.sciqst.com/mindmaps/Sl9sQjGnihPw
Multiple Myeloma	KB	Multiple_Myeloma.yaml	multiple myeloma diagnosis	44	https://www.sciqst.com/mindmaps/enFYc_e9JIcJ
Myocardial Infarction	KB	Myocardial_Infarction.yaml	Myocardial infarction	52	https://www.sciqst.com/mindmaps/3kmaXbAq1TjK
Neurosarcoidosis	KB	Neurosarcoidosis.yaml	Subtypes of Neurosarcoidosis, their clinical presentation and diagnostic criteria	38	https://www.sciqst.com/mindmaps/7RXkVLOqb4HB
