gene,probe
ACSL5,218322_s_at
ACSL5,222592_s_at
ACADVL,200710_at
PPARG,208510_s_at
CPT1A,203633_at
CPT1A,203634_s_at
CPT1A,210687_at
CPT1A,210688_s_at
CD68,203507_at
CD163,203645_s_at
CD163,215049_x_at
CD163,216233_at
CD86,205685_at
CD86,205686_s_at
CD86,210895_s_at
