dataset,gene,locus_class,comparison,n_probes,n_lesional,n_control,mean_lesional,mean_control,log2_mean_diff,fold_change,t_statistic,p_value,q_value_BH,cohens_d
GSE65914,BTNL2,immune,ETR_vs_control,1,14,20,3.9044071429,3.691945,0.2124621429,1.1586639051,2.893932585,0.0068504374,0.0104771396,0.9270800267
GSE65914,BTNL2,immune,PPR_vs_control,1,12,20,3.8621416667,3.691945,0.1701966667,1.1252118619,1.9766387014,0.0583285934,0.0739777283,0.6844460028
GSE65914,BTNL2,immune,PhR_vs_control,1,12,20,3.8666166667,3.691945,0.1746716667,1.1287075006,2.5650989399,0.0159617259,0.0224326958,0.7841800096
GSE65914,BTNL2,immune,rosacea_pooled_vs_control,1,38,20,3.8791263158,3.691945,0.1871813158,1.1385371098,2.870540139,0.0078821097,0.011710563,0.9132047816
GSE65914,HERC2,pigmentation,ETR_vs_control,3,14,20,5.6211119048,5.8123683333,-0.1912564286,0.8758426266,-4.0621656984,0.0003059436,0.0006118871,-1.3660529733
GSE65914,HERC2,pigmentation,PPR_vs_control,3,12,20,5.6750416667,5.8123683333,-0.1373266667,0.9092023595,-3.3774115916,0.0020599084,0.0034553303,-1.0652639778
GSE65914,HERC2,pigmentation,PhR_vs_control,3,12,20,5.5236638889,5.8123683333,-0.2887044444,0.8186368732,-7.0187668957,8.68e-08,4.512e-07,-2.2281446832
GSE65914,HERC2,pigmentation,rosacea_pooled_vs_control,3,38,20,5.6073692982,5.8123683333,-0.2049990351,0.8675392674,-5.3403150125,8.2243e-06,2.67288e-05,-1.6063014272
GSE65914,HLA-DQA1,immune,ETR_vs_control,4,14,20,8.8279339286,7.67367375,1.1542601786,2.2257015926,3.3986646495,0.001932889,0.0033503409,1.1611581736
GSE65914,HLA-DQA1,immune,PPR_vs_control,4,12,20,9.124575,7.67367375,1.45090125,2.7337877744,2.7894785567,0.0128246229,0.0185244553,1.1349997534
GSE65914,HLA-DQA1,immune,PhR_vs_control,4,12,20,8.8307083333,7.67367375,1.1570345833,2.2299858926,2.5390127712,0.0201821138,0.0276176294,0.9930712578
GSE65914,HLA-DQA1,immune,rosacea_pooled_vs_control,4,38,20,8.9224861842,7.67367375,1.2488124342,2.3764572252,4.0099618832,0.0002184352,0.0004543451,1.0365158877
GSE65914,HLA-DQB1,immune,ETR_vs_control,10,14,20,9.6704178571,8.5315615,1.1388563571,2.2020639354,5.6076103963,3.4074e-06,1.18122e-05,1.8211461651
