dataset,gene,locus_class,comparison,n_probes,n_lesional,n_control,mean_lesional,mean_control,log2_mean_diff,fold_change,t_statistic,p_value,q_value_BH,cohens_d
GSE65914,HLA-DQB1,immune,PPR_vs_control,10,12,20,9.8984325,8.5315615,1.366871,2.5791058777,5.0697436058,4.33272e-05,0.0001003143,1.8794923761
GSE65914,HLA-DQB1,immune,PhR_vs_control,10,12,20,9.4952675,8.5315615,0.963706,1.9503134374,3.8231443948,0.0008126153,0.0015091427,1.3786450461
GSE65914,HLA-DQB1,immune,rosacea_pooled_vs_control,10,38,20,9.6871118421,8.5315615,1.1555503421,2.2276928681,6.0823294857,5.765e-07,2.4983e-06,1.736370592
GSE65914,HLA-DRA,immune,ETR_vs_control,2,14,20,12.1053321429,10.81658,1.2887521429,2.4431664277,8.813312178,7.54e-08,4.358e-07,3.4317272274
GSE65914,HLA-DRA,immune,PPR_vs_control,2,12,20,12.6781125,10.81658,1.8615325,3.6339347119,11.5787063128,1.38e-08,8.94e-08,4.9810042192
GSE65914,HLA-DRA,immune,PhR_vs_control,2,12,20,12.0554083333,10.81658,1.2388283333,2.3600678449,6.0421427541,4.43698e-05,0.0001003143,2.6975186169
GSE65914,HLA-DRA,immune,rosacea_pooled_vs_control,2,38,20,12.2704447368,10.81658,1.4538647368,2.7394091084,12.5743119466,0.0,0.0,2.7566789713
GSE65914,HLA-DRB1,immune,ETR_vs_control,6,14,20,10.6629119048,9.6212683333,1.0416435714,2.0585715186,6.4341540621,7.872e-07,3.1487e-06,2.2853537711
GSE65914,HLA-DRB1,immune,PPR_vs_control,6,12,20,10.8215666667,9.6212683333,1.2002983333,2.2978718353,6.0212162881,1.09048e-05,3.33559e-05,2.3851580218
GSE65914,HLA-DRB1,immune,PhR_vs_control,6,12,20,10.6797111111,9.6212683333,1.0584427778,2.0826822937,4.3278991785,0.0005784543,0.0011140602,1.8110480659
GSE65914,HLA-DRB1,immune,rosacea_pooled_vs_control,6,38,20,10.7183184211,9.6212683333,1.0970500877,2.1391684425,7.8868812773,2e-10,1.9e-09,1.9639524238
GSE65914,IL13,immune,ETR_vs_control,1,14,20,5.3953,5.413615,-0.018315,0.9873852509,-0.3385544958,0.7371633559,0.7516175393,-0.1096852283
GSE65914,IL13,immune,PPR_vs_control,1,12,20,5.387475,5.413615,-0.02614,0.9820442925,-0.4458774693,0.6590382313,0.6853997606,-0.1505796804
GSE65914,IL13,immune,PhR_vs_control,1,12,20,5.35585,5.413615,-0.057765,0.9607513476,-0.8910712477,0.3812067244,0.4217606313,-0.3155871766
GSE65914,IL13,immune,rosacea_pooled_vs_control,1,38,20,5.3803710526,5.413615,-0.0332439474,0.9772205128,-0.6866756264,0.497503594,0.5389622268,-0.2078815958
GSE65914,IRF1,immune,ETR_vs_control,2,14,20,7.8085857143,6.66264,1.1459457143,2.2129114372,5.7113994268,2.68393e-05,6.97823e-05,2.2462539532
GSE65914,IRF1,immune,PPR_vs_control,2,12,20,8.631175,6.66264,1.968535,3.9137049586,6.5346660679,2.46753e-05,6.75325e-05,2.9639417759
GSE65914,IRF1,immune,PhR_vs_control,2,12,20,7.83315,6.66264,1.17051,2.2509125377,8.0855412664,2.06e-07,9.739e-07,3.1972551091
GSE65914,IRF1,immune,rosacea_pooled_vs_control,2,38,20,8.0761078947,6.66264,1.4134678947,2.6637669991,9.3204829204,0.0,0.0,2.0301606834
GSE65914,IRF4,immune,ETR_vs_control,3,14,20,4.6884904762,4.827855,-0.1393645238,0.9079189861,-3.417982682,0.0026738521,0.0043450096,-1.286067378
GSE65914,IRF4,immune,PPR_vs_control,3,12,20,4.8103666667,4.827855,-0.0174883333,0.9879511864,-0.5102883867,0.6152028338,0.6528683135,-0.192844471
GSE65914,IRF4,immune,PhR_vs_control,3,12,20,4.8288805556,4.827855,0.0010255556,1.0007111137,0.0191271829,0.9850038653,0.9850038653,0.0081834136
GSE65914,IRF4,immune,rosacea_pooled_vs_control,3,38,20,4.7713114035,4.827855,-0.0565435965,0.961565076,-1.8274185309,0.0730191162,0.09040462,-0.4303369088
GSE65914,OCA2,pigmentation,ETR_vs_control,1,14,20,7.7070928571,8.111535,-0.4044421429,0.7555283818,-2.0043817586,0.0539827568,0.0701775838,-0.6326033249
GSE65914,OCA2,pigmentation,PPR_vs_control,1,12,20,7.2326666667,8.111535,-0.8788683333,0.5437938222,-4.4633472566,0.0001150579,0.0002492921,-1.3770804749
GSE65914,OCA2,pigmentation,PhR_vs_control,1,12,20,7.67935,8.111535,-0.432185,0.741138461,-2.1484285616,0.0400733204,0.0534310939,-0.6710695737
GSE65914,OCA2,pigmentation,rosacea_pooled_vs_control,1,38,20,7.5485131579,8.111535,-0.5630218421,0.6768828916,-3.07570512,0.0049416679,0.0077868706,-1.0004862998
GSE65914,SLC45A2,pigmentation,ETR_vs_control,2,14,20,4.8829892857,5.0037025,-0.1207132143,0.9197328568,-1.6459436771,0.10966697,0.1296064191,-0.5471745109
GSE65914,SLC45A2,pigmentation,PPR_vs_control,2,12,20,4.9006916667,5.0037025,-0.1030108333,0.9310878282,-1.6252949172,0.1149570964,0.1299515003,-0.5036761829
GSE65914,SLC45A2,pigmentation,PhR_vs_control,2,12,20,4.9047166667,5.0037025,-0.0989858333,0.9336891133,-1.6423854043,0.1122618679,0.1297248251,-0.4940932413
GSE65914,SLC45A2,pigmentation,rosacea_pooled_vs_control,2,38,20,4.8954407895,5.0037025,-0.1082617105,0.9277051719,-1.8534521505,0.0754042652,0.0911865532,-0.6039636089
GSE65914,TLR1,immune,ETR_vs_control,1,14,20,5.8977,5.140855,0.756845,1.6897912116,5.2036789061,3.35655e-05,8.31145e-05,1.930160609
GSE65914,TLR1,immune,PPR_vs_control,1,12,20,6.723375,5.140855,1.58252,2.9949252595,6.3756944638,2.31084e-05,6.67575e-05,2.8162605271
GSE65914,TLR1,immune,PhR_vs_control,1,12,20,5.8518833333,5.140855,0.7110283333,1.6369705116,3.9561728918,0.0011959049,0.0021443813,1.6451035951
GSE65914,TLR1,immune,rosacea_pooled_vs_control,1,38,20,6.1439710526,5.140855,1.0031160526,2.0043244346,7.1941021895,1.8e-09,1.34e-08,1.6080801884
GSE65914,TLR2,immune,ETR_vs_control,1,14,20,7.9702285714,6.24817,1.7220585714,3.2990681293,15.5208182496,0.0,0.0,5.6456635636
GSE65914,TLR2,immune,PPR_vs_control,1,12,20,8.351,6.24817,2.10283,4.2955116949,8.6581500882,1.2391e-06,4.6023e-06,3.9028024251
GSE65914,TLR2,immune,PhR_vs_control,1,12,20,8.178475,6.24817,1.930305,3.8113576657,16.2242028515,0.0,0.0,6.3281624999
GSE65914,TLR2,immune,rosacea_pooled_vs_control,1,38,20,8.1562342105,6.24817,1.9080642105,3.7530518207,17.6599679554,0.0,0.0,4.0233152419
