species/code,symbol
human,ADAM10
human,ADAM17
human,APAF1
human,APBB1
human,APH1A
human,APOE
human,APP
human,ATF6
human,ATP2A1
human,ATP2A2
human,ATP2A3
human,ATP5F1A
human,ATP5F1B
human,ATP5F1C
human,ATP5F1D
human,ATP5F1E
human,ATP5MC1
human,ATP5MC1P5
human,ATP5MC2
human,ATP5MC3
human,ATP5PB
human,ATP5PD
human,ATP5PF
human,ATP5PO
human,BACE1
human,BACE2
human,BAD
human,BID
human,CACNA1C
human,CACNA1D
human,CACNA1F
human,CACNA1S
human,CALM1
human,CALM2
human,CALM3
human,CALML3
human,CALML5
human,CALML6
human,CAPN1
human,CAPN2
human,CASP3
human,CASP7
human,CASP8
human,CASP9
human,CDK5
human,CDK5R1
human,CHP1
human,CHP2
human,COX4I1
human,COX4I2
human,COX5A
human,COX5B
human,COX6A1
human,COX6A2
human,COX6B1
human,COX6B2
human,COX6C
human,COX6CP3
human,COX7A1
human,COX7A2
human,COX7A2L
human,COX7B
human,COX7B2
human,COX7C
human,COX8A
human,COX8C
human,CYC1
human,CYCS
human,EIF2AK3
human,ERN1
human,FADD
human,FAS
human,GAPDH
human,GNAQ
human,GRIN1
human,GRIN2A
human,GRIN2B
human,GRIN2C
human,GRIN2D
human,GSK3B
human,HSD17B10
human,IDE
human,IL1B
human,ITPR1
human,ITPR2
human,ITPR3
human,LPL
human,LRP1
human,MAPK1
human,MAPK3
human,MAPT
human,MME
human,MT-ATP6
human,MT-ATP8
human,MT-CO1
human,MT-CO2
human,MT-CO3
human,MT-CYB
human,NAE1
human,NCSTN
human,NDUFA1
human,NDUFA10
human,NDUFA2
human,NDUFA3
human,NDUFA4
human,NDUFA4L2
human,NDUFA5
human,NDUFA6
human,NDUFA7
human,NDUFA8
human,NDUFA9
human,NDUFAB1
human,NDUFB1
human,NDUFB10
human,NDUFB2
human,NDUFB3
human,NDUFB4
human,NDUFB5
human,NDUFB6
human,NDUFB7
human,NDUFB8
human,NDUFB9
human,NDUFC1
human,NDUFC2
human,NDUFS1
human,NDUFS2
human,NDUFS3
human,NDUFS4
human,NDUFS5
human,NDUFS6
human,NDUFS7
human,NDUFS8
human,NDUFV1
human,NDUFV2
human,NDUFV3
human,NOS1
human,PLCB1
human,PLCB2
human,PLCB3
human,PLCB4
human,PPP3CA
human,PPP3CB
human,PPP3CC
human,PPP3R1
human,PPP3R2
human,PSEN1
human,PSEN2
human,PSENEN
human,RYR3
human,SDHA
human,SDHB
human,SDHC
human,SDHCP5
human,SDHD
human,SNCA
human,TNF
human,TNFRSF1A
human,UQCR10
human,UQCR10P1
human,UQCR11
human,UQCRB
human,UQCRC1
human,UQCRC2
human,UQCRFS1
human,UQCRH
human,UQCRHL
human,UQCRQ
