species/code,symbol
human,ACTN1
human,ACTN2
human,ACTN3
human,ACTN4
human,C1QA
human,C1QB
human,C1QC
human,C1R
human,C1S
human,C2
human,C3
human,C4A
human,C4B
human,C5
human,C6
human,C7
human,C8A
human,C8B
human,C8G
human,C9
human,CD28
human,CD40
human,CD40LG
human,CD80
human,CD86
human,CTSG
human,ELANE
human,FCGR1A
human,FCGR2A
human,FCGR2B
human,FCGR2C
human,FCGR3A
human,FCGR3B
human,GRIN2A
human,GRIN2B
human,H2AB1
human,H2AB2
human,H2AB3
human,H2AC1
human,H2AC11
human,H2AC12
human,H2AC13
human,H2AC14
human,H2AC15
human,H2AC16
human,H2AC17
human,H2AC18
human,H2AC19
human,H2AC20
human,H2AC21
human,H2AC25
human,H2AC4
human,H2AC6
human,H2AC7
human,H2AC8
human,H2ACP1
human,H2AJ
human,H2AX
human,H2AZ1
human,H2AZ2
human,H2BC1
human,H2BC10
human,H2BC11
human,H2BC12
human,H2BC13
human,H2BC14
human,H2BC15
human,H2BC17
human,H2BC18
human,H2BC21
human,H2BC26
human,H2BC3
human,H2BC4
human,H2BC5
human,H2BC6
human,H2BC7
human,H2BC8
human,H2BC9
human,H2BW1
human,H2BW2
human,H3-3A
human,H3-3B
human,H3-4
human,H3-5
human,H3C1
human,H3C10
human,H3C11
human,H3C12
human,H3C13
human,H3C14
human,H3C15
human,H3C2
human,H3C3
human,H3C4
human,H3C6
human,H3C7
human,H3C8
human,H3Y1
human,H3Y2
human,H4C1
human,H4C11
human,H4C12
human,H4C13
human,H4C14
human,H4C15
human,H4C16
human,H4C2
human,H4C3
human,H4C4
human,H4C5
human,H4C6
human,H4C7
human,H4C8
human,H4C9
human,HLA-DMA
human,HLA-DMB
human,HLA-DOA
human,HLA-DOB
human,HLA-DPA1
human,HLA-DPB1
human,HLA-DQA1
human,HLA-DQA2
human,HLA-DQB1
human,HLA-DRA
human,HLA-DRB1
human,HLA-DRB3
human,HLA-DRB4
human,HLA-DRB5
human,IFNG
human,IL10
human,MACROH2A1
human,MACROH2A2
human,RO60
human,SNRPB
human,SNRPD1
human,SNRPD3
human,SSB
human,TNF
human,TRIM21
