gene,role,healthy_mean,healthy_pct_pos,rhinophyma_mean,rhinophyma_pct_pos,hs_scar_mean,hs_scar_pct_pos
PTGDS,seed_proinflammatory_marker,1.757,54.5,0.089,5.0,0.640,22.7
ACTA2,myofibroblast,0.441,22.4,0.832,38.9,0.929,39.5
COL1A1,myofibroblast/matrix,3.811,96.6,1.971,83.1,4.539,97.6
COL3A1,matrix,3.341,92.4,1.884,79.8,3.957,95.7
TAGLN,myofibroblast/contractile,0.805,34.7,1.365,60.2,1.430,53.6
POSTN,pathological_scar_matrix,0.845,29.1,0.045,3.1,1.323,46.4
CTHRC1,pathological_scar_matrix,0.690,26.8,0.087,8.0,1.131,43.4
MYH11,smooth_muscle/mural,NA,NA,0.102,6.1,0.159,11.0
CFD,quiescent_fibroblast,2.439,70.9,0.411,21.5,0.781,31.4
APOD,quiescent_fibroblast,1.483,59.2,0.155,11.1,0.435,19.3
CXCL12,fibroblast_chemokine,NA,NA,1.254,60.2,0.532,32.1
CCL19,reticular/inflammatory,NA,NA,0.886,32.0,0.260,10.2
CCL2,inflammatory_chemokine,NA,NA,0.977,43.0,0.470,25.2
IL6,inflammatory,NA,NA,0.154,11.3,0.216,12.6
# Values are log1p(CP10k) means and percent-positive within the fibroblast lineage of each sample.
# Composite scores (scanpy score_genes): proinflammatory_proxy Healthy 0.441 / Rhinophyma 0.133 / HS -0.020; myofibroblast Healthy 0.921 / Rhinophyma 0.521 / HS 1.333.
# Fibroblast n: Healthy 701, Rhinophyma 540, HS 2024. One individual per condition (pseudo-replication).
