condition,total_cells_after_qc,Fibroblast,Keratinocyte,Endothelial,Myeloid,TNK,Melanocyte,Mural,Mast
Rhinophyma,7505,540,109,2016,2217,1513,473,637,0
HypertrophicScar,9947,2024,4206,2227,206,378,150,617,139
Healthy,9392,701,NA,NA,NA,NA,NA,NA,NA
# Lineage assigned by canonical-marker score-argmax (scanpy score_genes). Healthy per-lineage counts not fully tabulated in the retry run (only fibroblasts extracted).
# QC: min_genes=200, pct_mito<20. 10x 3' v3. Note rhinophyma sample is immune/endothelial-dominated (fibroblasts only ~7% of cells) - possible dissociation/composition bias.
